1699044607.193038|01|Scraping page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699044609.232668|01|Parsing page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699044610.261516|01|Storing jobs in DB|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699044610.261955|01|Done|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699044610.264554|01|Scraping page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699044611.398278|01|Parsing page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699044612.446221|01|Storing jobs in DB|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699044630.988252|01|Done|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699044630.988999|01|Scraping page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699044632.115105|01|Parsing page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699044633.140853|01|Storing jobs in DB|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699044635.386693|01|Done|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699044635.39042|01|Scraping page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699044636.548962|01|Parsing page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699044637.565345|01|Storing jobs in DB|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699044637.9789782|01|Done|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699044637.984812|01|Scraping page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699044639.108345|01|Parsing page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699044640.1389492|01|Storing jobs in DB|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699044645.4407098|01|Done|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699184980.228245|01|Scraping page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699184982.2896268|01|Parsing page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699184983.318275|01|Storing jobs in DB|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699184983.318613|01|Done|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699184983.3207319|01|Scraping page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699184984.4930959|01|Parsing page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699184985.533031|01|Storing jobs in DB|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185004.061803|01|Done|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185004.065998|01|Scraping page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185005.206754|01|Parsing page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185006.235615|01|Storing jobs in DB|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185008.67789|01|Done|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185008.681777|01|Scraping page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185009.8248472|01|Parsing page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185010.845032|01|Storing jobs in DB|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185011.256605|01|Done|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185011.260478|01|Scraping page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185012.4065611|01|Parsing page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185013.4310951|01|Storing jobs in DB|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185018.738979|01|Done|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185034.184591|01|Scraping page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699185035.6659799|01|Parsing page|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699185036.694711|01|Storing jobs in DB|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699185036.6952178|01|Done|company|Faire|Greenhouse|https://boards.greenhouse.io/faire
1699185036.6976051|01|Scraping page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185037.824311|01|Parsing page|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185038.868798|01|Storing jobs in DB|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185057.425799|01|Done|company|Point72|Greenhouse|https://boards.greenhouse.io/point72
1699185057.429918|01|Scraping page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185058.7622578|01|Parsing page|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185059.780663|01|Storing jobs in DB|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185062.214529|01|Done|company|Twitch|Greenhouse|https://boards.greenhouse.io/twitch
1699185062.218341|01|Scraping page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185063.3321579|01|Parsing page|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185064.3548129|01|Storing jobs in DB|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185064.762857|01|Done|company|Ogilvy Health USA|Greenhouse|https://boards.greenhouse.io/ogilvyhealthusa
1699185064.767338|01|Scraping page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185065.906038|01|Parsing page|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185066.9354649|01|Storing jobs in DB|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
1699185072.231318|01|Done|company|Ogilvy UK|Greenhouse|https://boards.greenhouse.io/ogilvyuk
